#stream writer is opened
#    lat    lon    ele    time    hdop    sat    fix    
50.609898  30.568266  158.000000  2015-09-20 16:34:36   3.2  8  3d  
50.609898  30.568266  158.000000  2015-09-20 16:34:46   2.4  8  3d  
50.609959  30.568279  121.000000  2015-09-20 16:34:56   2.4  10  3d  
50.609852  30.568239  122.000000  2015-09-20 16:35:06   3.2  11  3d  
50.609276  30.568155  120.000000  2015-09-20 16:35:16   3.2  11  3d  
50.608624  30.568073  120.000000  2015-09-20 16:35:26   1.6  8  3d  
50.608185  30.568035  71.000000  2015-09-20 16:35:36   6.4  9  3d  
50.607315  30.567984  73.000000  2015-09-20 16:35:46   6.4  10  3d  
50.606350  30.567741  70.000000  2015-09-20 16:35:56   4.8  9  3d  
50.605282  30.567118  105.000000  2015-09-20 16:36:06   1.6  10  3d  
50.604565  30.566784  112.000000  2015-09-20 16:36:16   1.2  11  3d  
50.603668  30.566723  120.000000  2015-09-20 16:36:26   1.6  9  3d  
50.602726  30.566881  123.000000  2015-09-20 16:36:36   1.2  10  3d  
50.601776  30.567022  120.000000  2015-09-20 16:36:46   1.6  10  3d  
50.600857  30.567116  123.000000  2015-09-20 16:36:56   1.2  11  3d  
50.599937  30.566998  120.000000  2015-09-20 16:37:06   1.2  11  3d  
50.599091  30.566734  121.000000  2015-09-20 16:37:16   1.2  10  3d  
50.598221  30.566080  121.000000  2015-09-20 16:37:26   1.6  9  3d  
50.597347  30.565538  122.000000  2015-09-20 16:37:36   1.2  10  3d  
50.596474  30.565592  123.000000  2015-09-20 16:37:46   1.2  10  3d  
50.596207  30.565804  122.000000  2015-09-20 16:37:56   1.2  10  3d  
50.595940  30.565649  118.000000  2015-09-20 16:38:06   2.4  10  3d  
50.595112  30.564383  125.000000  2015-09-20 16:38:16   1.2  10  3d  
50.594025  30.562708  127.000000  2015-09-20 16:38:26   1.2  9  3d  
50.592957  30.561079  126.000000  2015-09-20 16:38:36   1.6  10  3d  
50.591919  30.559389  126.000000  2015-09-20 16:38:46   1.2  11  3d  
50.591236  30.557217  125.000000  2015-09-20 16:38:56   1.2  9  3d  
50.590691  30.554897  125.000000  2015-09-20 16:39:06   0.8  10  3d  
50.589458  30.553005  127.000000  2015-09-20 16:39:16   1.2  10  3d  
50.587944  30.551838  126.000000  2015-09-20 16:39:26   0.8  10  3d  
50.587196  30.551311  125.000000  2015-09-20 16:39:36   0.8  11  3d  
50.586796  30.551020  126.000000  2015-09-20 16:39:46   1.2  11  3d  
50.586647  30.550903  125.000000  2015-09-20 16:39:56   0.8  9  3d  
50.586475  30.550776  125.000000  2015-09-20 16:40:06   0.8  11  3d  
50.586334  30.550659  126.000000  2015-09-20 16:40:16   0.8  10  3d  
50.586155  30.550529  125.000000  2015-09-20 16:40:26   0.8  11  3d  
50.585983  30.550371  128.000000  2015-09-20 16:40:36   1.2  11  3d  
50.585800  30.550243  127.000000  2015-09-20 16:40:46   1.2  11  3d  
