#  NN градусы  градусы           Z     Yaw           Pitch           Roll
10556 50.46615 29.99576 972.409       268.485261 0.740571 -1.611946     
10557 50.46566 29.99213 977.101       268.535823 4.147329 -1.394462     
10558 50.46515 29.98850 982.050       267.292942 2.950139 -1.967348     
10559 50.46455 29.98476 986.430       264.800957 3.787987 -0.416427     
10560 50.46397 29.98092 991.248       272.074320 3.541825 0.041676      
10561 50.46366 29.97704 995.776       277.719430 1.888319 0.501961      
10562 50.46359 29.97303 997.338       276.630125 1.822328 -1.020853     
10563 50.46338 29.96895 1000.841      264.295024 1.108909 -4.110689     
10564 50.46274 29.96499 1003.919      258.992929 1.076845 -1.900378     
10565 50.46193 29.96113 1006.867      264.170398 1.264910 0.000119      
10566 50.46126 29.95728 1009.699      266.320760 0.810848 -0.925385     
10567 50.46080 29.95341 1013.272      271.948074 2.055376 1.543510      
10568 50.46041 29.94945 1017.123      267.241645 0.909623 -3.353525     
10569 50.45985 29.94545 1017.282      266.938459 0.398177 -0.673806     
10570 50.45939 29.94146 1016.678      271.293712 1.125346 0.136803      
10571 50.45909 29.93744 1015.050      273.704968 -1.002247 0.230162      
10572 50.45882 29.93332 1009.504      267.706062 -0.453855 -3.746344     
10573 50.45828 29.92930 1007.262      262.817474 -1.359839 -3.083321     
10574 50.45756 29.92537 1002.527      264.237368 -0.635788 0.474816      
10575 50.45696 29.92156 999.882       269.160604 -0.054630 0.633595      
10576 50.45653 29.91772 999.232       269.389056 0.377976 0.099597      
10577 50.45615 29.91385 997.689       271.294335 0.396667 -1.719634     
10578 50.45577 29.90995 996.517       270.606272 -0.459376 -1.162830     
10579 50.45539 29.90601 991.710       271.590580 -0.438260 0.037683      
10580 50.45507 29.90208 988.546       271.107934 -0.716177 -1.121320     
10581 50.45475 29.89814 984.606       268.146088 -0.332831 -0.987539     
10582 50.45429 29.89425 982.212       263.794855 -0.630595 -1.231163     
10583 50.44719 29.89421 971.936       66.611850 4.051671 3.073546        
10584 50.44750 29.89781 986.666       67.530488 1.862101 1.454029        
