#  NN	„‡‰ÛÒ˚		„‡‰ÛÒ˚           Z
10556	50,46615	29,99576	972,409
10557	50,46566	29,99213	977,101
10558	50,46515	29,98850	982,050
10559	50,46455	29,98476	986,430
10560	50,46397	29,98092	991,248
10561	50,46366	29,97704	995,776
10562	50,46359	29,97303	997,338
10563	50,46338	29,96895	1000,841
10564	50,46274	29,96499	1003,919
10565	50,46193	29,96113	1006,867
10566	50,46126	29,95728	1009,699
10567	50,46080	29,95341	1013,272
10568	50,46041	29,94945	1017,123
10569	50,45985	29,94545	1017,282
10570	50,45939	29,94146	1016,678
10571	50,45909	29,93744	1015,050
10572	50,45882	29,93332	1009,504
10573	50,45828	29,92930	1007,262
10574	50,45756	29,92537	1002,527
10575	50,45696	29,92156	999,882
10576	50,45653	29,91772	999,232
10577	50,45615	29,91385	997,689
10578	50,45577	29,90995	996,517
10579	50,45539	29,90601	991,710
10580	50,45507	29,90208	988,546
10581	50,45475	29,89814	984,606
10582	50,45429	29,89425	982,212
10583	50,44719	29,89421	971,936
10584	50,44750	29,89781	986,666
10585	50,44780	29,90164	993,077
10586	50,44820	29,90555	992,426
10587	50,44874	29,90949	987,359
10588	50,44917	29,91341	990,116
10589	50,44952	29,91723	997,993
10590	50,44991	29,92108	1004,569
10591	50,45055	29,92488	1009,016
10592	50,45120	29,92881	1010,543
10593	50,45148	29,93292	1012,990
10594	50,45169	29,93692	1015,264
10595	50,45207	29,94102	1003,994
10596	50,45267	29,94486	1000,006
10597	50,45338	29,94866	996,135
10598	50,45386	29,95264	995,548
10599	50,45422	29,95641	1004,522
10600	50,45471	29,96026	1004,918
10601	50,45529	29,96424	993,080
10602	50,45574	29,96830	981,907
10603	50,45622	29,97208	984,230
10604	50,45684	29,97567	990,936
10605	50,45740	29,97954	989,570
10606	50,45766	29,98348	990,411
10607	50,45802	29,98728	993,751
10608	50,45853	29,99113	991,208
10609	50,45901	29,99508	984,712
10610	50,45928	29,99908	979,437
