# track test Info: type/length/pen: track/32/Color [Black]
#  latitude  longitude   height photo yaw pitch roll
50.46615 29.99576   972 10556 268.485261 0.740571 -1.611946
50.46566 29.99213   977 10557 268.535823 4.147329 -1.394462
50.46515 29.9885   982 10558 267.292942 2.950139 -1.967348
50.46455 29.98476   986 10559 264.800957 3.787987 -0.416427
50.46397 29.98092   991 10560 272.07432 3.541825 0.041676
50.46366 29.97704   995 10561 277.71943 1.888319 0.501961
50.46359 29.97303   997 10562 276.630125 1.822328 -1.020853
50.46338 29.96895   1000 10563 264.295024 1.108909 -4.110689
50.46274 29.96499   1003 10564 258.992929 1.076845 -1.900378
50.46193 29.96113   1006 10565 264.170398 1.26491 0.000119
50.46126 29.95728   1009 10566 266.32076 0.810848 -0.925385
50.4608 29.95341   1013 10567 271.948074 2.055376 1.54351
50.46041 29.94945   1017 10568 267.241645 0.909623 -3.353525
50.45985 29.94545   1017 10569 266.938459 0.398177 -0.673806
50.45939 29.94146   1016 10570 271.293712 1.125346 0.136803
50.45909 29.93744   1015 10571 273.704968 -1.002247 0.230162
50.45882 29.93332   1009 10572 267.706062 -0.453855 -3.746344
50.45828 29.9293   1007 10573 262.817474 -1.359839 -3.083321
50.45756 29.92537   1002 10574 264.237368 -0.635788 0.474816
50.45696 29.92156   999 10575 269.160604 -0.05463 0.633595
50.45653 29.91772   999 10576 269.389056 0.377976 0.099597
50.45615 29.91385   997 10577 271.294335 0.396667 -1.719634
50.45577 29.90995   996 10578 270.606272 -0.459376 -1.16283
50.45539 29.90601   991 10579 271.59058 -0.43826 0.037683
50.45507 29.90208   988 10580 271.107934 -0.716177 -1.12132
50.45475 29.89814   984 10581 268.146088 -0.332831 -0.987539
50.45429 29.89425   982 10582 263.794855 -0.630595 -1.231163
50.44719 29.89421   971 10583 66.61185 4.051671 3.073546
50.4475 29.89781   986 10584 67.530488 1.862101 1.454029
50.4478 29.90164   993 10585 66.86007 1.208439 -0.436602
50.4482 29.90555   992 10586 63.63378 -0.980939 -1.030381
50.44874 29.90949   987 10587 65.364559 -0.781314 2.833544
#top left/bottom right : 50.466150N 29.894210E/50.447190N 29.995760E
