#stream writer is opened
#    lat    lon    ele    time    hdop    sat    fix    
50.510944  30.489025  234.000000  2016-10-23 10:11:32   9.6  9  3d  
50.510944  30.489025  234.000000  2016-10-23 10:11:32   9.6  9  3d  
50.510944  30.489025  234.000000  2016-10-23 10:11:34   6.4  9  3d  
50.510944  30.489025  234.000000  2016-10-23 10:11:34   6.4  10  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:35   4.8  10  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:35   4.8  10  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:36   4.8  10  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:36   4.8  10  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:37   4.8  9  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:37   4.8  9  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:38   4.8  10  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:38   4.8  10  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:39   3.2  10  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:39   3.2  10  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:40   3.2  10  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:40   3.2  10  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:41   6.4  9  3d  
50.510956  30.488853  235.000000  2016-10-23 10:11:41   6.4  9  3d  
50.511009  30.489014  221.000000  2016-10-23 10:11:42   6.4  9  3d  
50.511009  30.489014  221.000000  2016-10-23 10:11:42   6.4  10  3d  
50.511028  30.489073  219.000000  2016-10-23 10:11:43   4.8  10  3d  
50.511028  30.489073  219.000000  2016-10-23 10:11:43   4.8  9  3d  
50.511028  30.489073  219.000000  2016-10-23 10:11:44   4.8  9  3d  
50.511028  30.489073  219.000000  2016-10-23 10:11:44   4.8  8  3d  
50.511097  30.489250  223.000000  2016-10-23 10:11:45   4.8  8  3d  
50.511097  30.489250  223.000000  2016-10-23 10:11:45   4.8  10  3d  
50.511097  30.489250  223.000000  2016-10-23 10:11:46   4.8  10  3d  
